country,location_name,latitude,longitude,temperature_fahrenheit,cloud,precip_mm,air_quality,moon_illumination,visibility_km,visibility_miles
Jamaica,Norman Gardens,17.97,-76.75,86.0,25,0.0,3.1,93,10.0,6.0
Japan,Tokyo,35.69,139.69,89.6,25,0.0,6.6,93,10.0,6.0
Jordan,Amman,31.95,35.93,80.6,50,0.0,15.2,93,6.0,3.0
Kazakhstan,Astana,51.18,71.43,71.6,37,0.0,3.1,93,10.0,6.0
Kenya,Nairobi,-1.28,36.82,69.8,75,0.0,8.5,93,10.0,6.0
Kiribati,Tarawa,-0.88,169.53,84.0,51,0.2,0.5,93,10.0,6.0
Kuwait,Kuwait City,29.37,47.96,103.3,0,0.0,45.7,93,10.0,6.0
Kyrghyzstan,Bishkek,42.87,74.6,81.3,19,0.0,2.0,93,10.0,6.0
Indonesia,Laos,-8.18,114.32,82.2,4,0.0,11.7,93,10.0,6.0
Latvia,Riga,56.95,24.1,60.8,0,0.0,4.3,93,10.0,6.0
Lebanon,Beirut,33.87,35.51,86.0,75,0.0,15.8,93,6.0,3.0
Lesotho,Maseru,-29.32,27.48,66.0,0,0.0,69.6,93,10.0,6.0
Liberia,Monrovia,6.31,-10.8,77.0,75,1.3,2.8,93,10.0,6.0
Thailand,Nan,18.78,100.78,91.4,25,4.8,8.3,93,10.0,6.0
Liechtenstein,Vaduz,47.13,9.52,53.6,75,0.2,4.3,93,10.0,6.0
Lithuania,Vilnius,54.68,25.32,62.6,75,0.1,3.6,93,10.0,6.0
Luxembourg,Luxembourg,49.61,6.13,60.8,25,0.1,4.9,93,10.0,6.0
Madagascar,Antananarivo,-18.92,47.52,69.8,75,0.2,1.8,93,10.0,6.0
Malawi,Lilongwe,-13.98,33.78,64.4,25,0.0,2.2,93,10.0,6.0
Malaysia,Kuala Lumpur,3.17,101.7,80.6,25,1.4,126.8,93,9.0,5.0
Maldives,Farukolhufunadhoo,6.15,73.27,77.5,100,9.4,0.5,93,3.0,1.0
Mali,Bamako,12.65,-8.0,73.4,25,2.3,4.3,93,10.0,6.0
Malta,Valletta,35.9,14.51,82.4,25,0.0,3.3,93,10.0,6.0
Marshall Islands,Majuro,7.1,171.38,84.2,100,0.0,1.0,93,24.0,14.0
Mauritania,Nouakchott,18.09,-15.98,83.5,11,0.0,15.9,93,10.0,6.0
Mauritius,Port Louis,-20.16,57.5,78.8,75,0.0,6.9,93,10.0,6.0
Mexico,Mexico City,19.43,-99.13,60.8,50,0.0,15.5,93,16.0,9.0
Micronesia,Palikir,6.92,158.15,78.8,100,0.3,0.5,93,23.0,14.0
Russia,Chi-Chi-Erh,51.7,94.45,97.7,98,0.0,4.6,93,10.0,6.0
Monaco,Monaco,43.73,7.42,71.6,50,0.0,0.8,93,10.0,6.0
Mongolia,Ulaanbaatar,47.92,106.92,78.8,25,0.0,28.9,93,10.0,6.0
Montenegro,Podgorica,42.44,19.26,77.0,50,0.3,11.9,93,10.0,6.0
Morocco,Rabat,34.03,-6.84,75.2,0,0.0,8.0,93,5.0,3.0
Mozambique,Maputo,-25.97,32.59,69.8,75,0.1,8.6,93,10.0,6.0
Myanmar,Pathein,16.78,94.73,86.0,62,0.0,4.0,93,10.0,6.0
Namibia,Windhoek,-22.57,17.08,68.0,0,0.0,22.4,93,10.0,6.0
Turkey,Yaren,39.55,27.62,82.4,0,0.0,10.3,93,10.0,6.0
Nepal,Kathmandu,27.72,85.32,82.4,75,0.5,32.3,93,8.0,4.0
Netherlands,Amsterdam,52.37,4.89,66.2,25,0.0,5.7,93,10.0,6.0
New Zealand,Wellington,-41.3,174.78,48.2,0,0.0,0.5,93,10.0,6.0
Nicaragua,Managua,12.15,-86.27,77.0,25,0.0,22.7,93,10.0,6.0
Niger,Niamey,13.52,2.12,86.0,0,0.0,5.0,93,10.0,6.0
Nigeria,Abuja,9.18,7.18,82.4,50,0.0,8.8,93,10.0,6.0
North Korea,Pyongyang,39.02,125.75,71.6,83,0.1,17.2,93,10.0,6.0
Macedonia,Skopje,42.0,21.43,86.0,25,0.0,25.2,93,10.0,6.0
Norway,Oslo,59.92,10.75,53.6,75,0.0,5.3,93,10.0,6.0
Oman,Muscat,23.61,58.59,91.4,0,0.0,38.2,93,9.0,5.0
Pakistan,Islamabad,33.7,73.17,89.4,13,0.0,88.4,93,10.0,6.0
Palau,Adkip,7.36,134.51,84.2,75,0.0,1.9,93,14.0,8.0
Bolivia,National,-11.18,-67.08,72.5,16,0.0,51.3,93,10.0,6.0
Panama,Panama City,8.97,-79.53,80.6,75,0.6,5.9,93,9.0,5.0
Papua New Guinea,Port Moresby,-9.46,147.19,75.9,22,0.0,5.9,93,10.0,6.0
Paraguay,Carreria,-21.55,-58.12,73.0,99,0.0,5.2,93,10.0,6.0
Peru,Lima,-12.05,-77.05,61.2,58,0.0,13.2,93,10.0,6.0
Philippines,Manila,14.6,120.98,80.6,100,0.7,1.2,93,10.0,6.0
Poland,Warsaw,52.25,21.0,71.6,75,0.0,1.9,93,10.0,6.0
Portugal,Lisbon,38.72,-9.13,69.8,25,0.0,4.6,93,10.0,6.0
Qatar,Doha,25.29,51.53,100.4,0,0.0,46.1,93,10.0,6.0
Romania,Bucharest,44.43,26.1,95.0,0,0.0,5.8,93,10.0,6.0
Russia,Moscow,55.75,37.62,60.8,75,0.0,4.5,93,10.0,6.0
Rwanda,Kigali,-1.95,30.06,78.8,50,0.0,2.5,93,10.0,6.0
Saint Kitts and Nevis,Basseterre,17.3,-62.72,82.4,0,0.0,1.2,93,10.0,6.0
Saint Lucia,Castries,14.0,-61.0,80.6,50,0.4,2.3,93,10.0,6.0
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,83.8,82,0.9,1.8,93,9.0,5.0
Samoa,Apia,-13.83,-171.73,78.8,75,0.6,3.3,93,10.0,6.0
San Marino,San Marino,43.93,12.45,69.8,50,0.0,1.2,93,10.0,6.0
Belgium,'S-Gravenwezel,51.27,4.55,62.6,25,0.0,5.5,93,10.0,6.0
Saudi Arabia,Riyadh,24.64,46.77,107.6,0,0.0,59.0,93,10.0,6.0
Senegal,Dakar,14.67,-17.44,80.6,50,3.6,8.9,93,10.0,6.0
Serbia,Belgrade,44.8,20.47,75.2,25,0.1,14.1,93,10.0,6.0
Seychelles Islands,Victoria,-4.62,55.45,79.3,96,0.5,4.1,93,10.0,6.0
Sierra Leone,Freetown,8.49,-13.23,75.2,75,1.5,1.6,93,10.0,6.0
Singapore,Singapore,1.29,103.86,87.8,75,0.4,23.6,93,10.0,6.0
Slovakia,Bratislava,48.15,17.12,66.2,75,0.0,12.1,93,10.0,6.0
Slovenia,Ljubljana,46.06,14.51,60.8,75,0.8,3.0,93,4.0,2.0
Solomon Islands,Honiara,-9.43,159.95,80.6,75,0.1,1.3,93,10.0,6.0
Somalia,Mogadishu,2.07,45.37,84.2,75,0.0,7.8,93,10.0,6.0
South Africa,Pretoria,-25.75,28.19,64.4,0,0.0,56.3,93,10.0,6.0
South Korea,Seoul,37.57,127.0,73.4,100,0.0,4.9,93,10.0,6.0
Sudan,Juba,12.15,24.45,88.2,3,0.0,8.1,93,10.0,6.0
Spain,Madrid,40.4,-3.68,68.0,0,0.0,2.5,93,10.0,6.0
Sri Lanka,Colombo,6.93,79.85,87.8,50,0.1,1.5,93,10.0,6.0
Sudan,Khartoum,15.59,32.53,86.7,58,0.0,13.0,93,10.0,6.0
Suriname,Paramaribo,5.83,-55.17,77.0,25,0.0,1.0,93,10.0,6.0
Sweden,Stockholm,59.33,18.05,64.4,0,0.0,2.8,93,10.0,6.0
Switzerland,Bern,46.92,7.47,57.2,75,0.0,4.1,93,10.0,6.0
Syria,Damascus,33.5,36.3,89.6,50,0.0,6.9,93,10.0,6.0
Tajikistan,Dushanbe,38.56,68.77,89.6,0,0.0,2.0,93,10.0,6.0
Tanzania,Dodoma,-6.18,35.75,73.4,25,0.0,1.4,93,10.0,6.0
Thailand,Bangkok,13.75,100.52,91.4,50,0.1,10.0,93,10.0,6.0
Indonesia,Murong Timor,-7.56,112.27,92.3,7,0.0,41.1,93,10.0,6.0
Bulgaria,Lom,43.81,23.24,88.3,11,0.0,7.5,93,10.0,6.0
Tonga,Nuku`Aloia,-21.13,-175.2,69.8,75,0.1,1.2,93,10.0,6.0
Trinidad and Tobago,Port Of Spain,10.65,-61.52,78.8,25,0.1,2.1,93,10.0,6.0
Tunisia,Tunis,36.8,10.18,84.2,50,0.0,2.4,93,10.0,6.0
Turkey,Ankara,39.93,32.86,82.4,0,0.0,13.3,93,10.0,6.0
Turkmenistan,Ashgabat,37.95,58.38,95.0,25,0.0,19.0,93,10.0,6.0
Tuvalu,Funafuti,-8.52,179.22,84.2,50,0.3,1.6,93,10.0,6.0
Uganda,Kampala,0.32,32.57,77.0,50,1.5,4.0,93,10.0,6.0
Ukraine,Lviv,49.83,24.0,84.9,2,0.0,13.3,93,10.0,6.0
United Arab Emirates,Abu Dhabi,24.47,54.37,113.0,0,0.0,82.6,93,10.0,6.0
United Kingdom,London,51.52,-0.11,64.4,0,0.0,4.0,93,10.0,6.0
United States of America,Washington Park,46.6,-120.49,73.9,0,0.0,9.6,93,16.0,9.0
Uruguay,Montevideo,-34.86,-56.17,44.6,0,0.0,2.8,93,10.0,6.0
Uzbekistan,Tashkent,41.32,69.25,87.8,0,0.0,7.1,93,10.0,6.0
Vanuatu,Port Vila,-17.73,168.32,71.6,100,2.6,4.8,93,10.0,6.0
Venezuela,Caracas,10.5,-66.92,77.0,75,0.5,25.6,93,10.0,6.0
Vietnam,Hanoi,21.03,105.85,86.0,0,0.0,12.9,93,10.0,6.0
Yemen,Sanaa,15.35,44.21,77.5,88,0.2,17.5,93,10.0,6.0
Zambia,Lusaka,-15.42,28.28,67.6,3,0.0,17.3,93,10.0,6.0
Zimbabwe,Harare,-17.82,31.04,66.2,0,0.0,17.4,93,10.0,6.0
Afghanistan,Kabul,34.52,69.18,70.3,4,0.0,31.7,98,10.0,6.0
Albania,Tirana,41.33,19.82,71.6,75,0.0,4.5,98,10.0,6.0
Algeria,Algiers,36.76,3.05,66.2,25,0.0,5.3,98,10.0,6.0
Andorra,Andorra La Vella,42.5,1.52,37.2,25,0.0,0.8,98,10.0,6.0
Angola,Luanda,-8.84,13.23,69.8,25,0.0,8.5,98,8.0,4.0
Antigua and Barbuda,Saint John's,17.12,-61.85,84.2,50,0.0,7.7,98,10.0,6.0
Argentina,Buenos Aires,-34.59,-58.67,51.8,0,0.0,2.9,98,10.0,6.0
Armenia,Yerevan,40.18,44.51,64.4,0,0.0,2.2,98,10.0,6.0
Australia,Canberra,-35.28,149.22,60.8,75,0.0,3.8,98,10.0,6.0
Austria,Vienna,48.2,16.37,59.0,25,0.0,3.0,98,10.0,6.0
Azerbaijan,Baku,40.4,49.88,73.4,0,0.0,0.9,98,10.0,6.0
Bahamas,Nassau,25.08,-77.35,86.0,75,0.0,13.9,98,10.0,6.0
Bahrain,Manama,26.24,50.58,91.4,0,0.0,28.7,98,10.0,6.0
Bangladesh,Dhaka,23.72,90.41,87.1,10,0.0,153.9,98,10.0,6.0
Barbados,Bridgetown,13.1,-59.62,82.4,50,0.3,2.3,98,10.0,6.0
Belarus,Minsk,53.9,27.57,68.0,0,0.0,8.3,98,10.0,6.0
Belgium,Brussels,50.83,4.33,53.6,75,0.0,11.2,98,10.0,6.0
Belize,Belmopan,17.25,-88.77,75.9,86,0.1,2.9,98,10.0,6.0
Benin,Porto-Novo,6.48,2.62,78.8,50,0.1,6.3,98,10.0,6.0
Bhutan,Thimphu,27.48,89.6,64.9,11,0.0,14.1,98,10.0,6.0
Bolivia,Sucre,-19.04,-65.26,55.4,7,0.0,11.8,98,10.0,6.0
Bosnia and Herzegovina,Sarajevo,43.85,18.38,60.8,25,3.5,1.7,98,10.0,6.0
Botswana,Gaborone,-24.65,25.91,48.2,0,0.0,2.7,98,10.0,6.0
Brazil,Bras,-2.08,-58.17,80.4,6,0.0,2.8,98,10.0,6.0
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,89.6,75,0.0,2.3,98,10.0,6.0
Bulgaria,Sofia,42.68,23.32,62.6,75,0.5,10.3,98,10.0,6.0
Burkina Faso,Ouagadougou,12.37,-1.52,76.3,10,0.0,5.0,98,10.0,6.0
Burundi,Bujumbura,-3.38,29.36,72.5,8,0.0,28.7,98,10.0,6.0
Madagascar,Ivory,-24.37,46.45,55.8,0,0.0,2.4,98,10.0,6.0
Cape Verde,Praia,14.93,-23.51,78.8,75,0.6,17.5,98,10.0,6.0
Cambodia,Phnom Penh,11.55,104.92,89.6,25,0.0,1.8,98,10.0,6.0
Cameroon,Bafoussam,5.47,10.42,62.4,59,0.0,14.7,98,2.0,1.0
Canada,Ottawa,45.42,-75.7,68.0,75,0.0,2.7,98,24.0,14.0
Central African Republic,Bangui,4.37,18.58,73.4,50,0.0,0.6,98,6.0,3.0
Chad,N'djamena,12.11,15.05,75.2,50,0.0,8.5,98,7.0,4.0
Chile,Santiago,-33.45,-70.67,55.4,0,0.0,537.3,98,10.0,6.0
China,Beijing,39.93,116.39,84.2,0,0.0,150.9,98,10.0,6.0
Bulgaria,Bogot,43.32,24.7,65.3,82,0.3,7.9,98,10.0,6.0
Comoros,Moroni,-11.7,43.24,73.9,76,0.2,4.6,98,10.0,6.0
Congo,Brazzaville,-4.26,15.28,75.2,0,0.0,38.4,98,8.0,4.0
Costa Rica,San Juan,9.97,-84.08,73.4,75,0.0,37.4,98,0.5,0.0
Croatia,Zagreb,45.8,16.0,60.8,75,0.0,2.6,98,10.0,6.0
Cuba,Havana,23.13,-82.36,80.6,75,0.0,5.3,98,8.0,4.0
Cyprus,Nicosia,35.17,33.37,71.6,25,0.0,20.8,98,10.0,6.0
Czech Republic,Prague,50.08,14.47,55.4,100,0.1,4.6,98,10.0,6.0
Democratic Republic of Congo,Kinshasa,-4.3,15.3,75.2,0,0.0,38.4,98,8.0,4.0
Denmark,Copenhagen,55.67,12.58,57.2,75,0.0,3.8,98,10.0,6.0
Djibouti,Djibouti,11.6,43.15,91.4,50,0.2,9.1,98,10.0,6.0
Dominica,Roseau,15.3,-61.4,82.9,80,1.0,2.4,98,10.0,6.0
Dominican Republic,Santo Domingo,18.47,-69.9,80.6,50,0.0,20.5,98,10.0,6.0
Ecuador,Quito,-0.22,-78.5,52.7,5,0.0,32.0,98,10.0,6.0
Egypt,Cairo,30.05,31.25,78.8,0,0.0,26.9,98,6.0,3.0
El Salvador,San Salvador,13.71,-89.2,80.6,25,0.0,12.6,98,10.0,6.0
Equatorial Guinea,Malabo,3.75,8.78,75.4,64,3.3,1.7,98,7.0,4.0
Eritrea,Asmara,15.33,38.93,64.8,10,0.0,25.2,98,10.0,6.0
Estonia,Tallinn,59.43,24.73,57.2,25,0.1,3.3,98,10.0,6.0
Swaziland,Mbabane,-26.32,31.13,45.7,0,0.0,10.7,98,10.0,6.0
Ethiopia,Addis Ababa,9.03,38.7,57.2,75,0.0,12.8,98,7.0,4.0
Fiji Islands,Suva,-18.13,178.42,78.8,50,0.0,3.3,98,10.0,6.0
Finland,Helsinki,60.18,24.93,53.6,75,0.0,7.8,98,10.0,6.0
France,Paris,48.87,2.33,57.2,100,0.0,9.7,98,10.0,6.0
Gabon,Libreville,0.38,9.45,77.0,50,0.0,4.9,98,10.0,6.0
Gambia,Banjul,13.45,-16.58,75.2,75,0.6,1.1,98,10.0,6.0
Georgia,Tbilisi,41.73,44.79,68.0,0,0.1,3.5,98,10.0,6.0
Germany,Berlin,52.52,13.4,57.2,0,0.0,3.9,98,10.0,6.0
Ghana,Accra,5.55,-0.22,78.8,75,0.0,6.1,98,10.0,6.0
Greece,Athens,37.98,23.72,78.8,25,0.0,27.2,98,10.0,6.0
Grenada,Saint George's,12.05,-61.75,80.6,50,0.0,1.8,98,10.0,6.0
Guatemala,Guatemala City,14.62,-90.53,64.8,75,1.1,36.5,98,10.0,6.0
Guinea,Conakry,9.51,-13.71,77.0,75,7.7,0.8,98,10.0,6.0
Guinea-Bissau,Bissau,11.85,-15.58,76.6,72,1.0,1.0,98,10.0,6.0
Guyana,Georgetown,6.8,-58.17,78.8,25,0.1,1.6,98,10.0,6.0
Haiti,Port-Au-Prince,18.54,-72.34,86.0,0,0.0,8.1,98,9.0,5.0
Vatican City,Vatican City,41.9,12.45,62.6,50,0.0,5.4,98,10.0,6.0
Honduras,Tegucigalpa,14.1,-87.22,77.0,25,0.8,9.4,98,10.0,6.0
Hungary,Budapest,47.5,19.08,60.8,0,0.6,13.5,98,10.0,6.0
Iceland,Hella,63.83,-20.4,50.0,91,0.2,1.3,98,10.0,6.0
India,New Delhi,28.6,77.2,84.2,25,0.0,15.4,98,3.5,2.0
Indonesia,Jakarta,-6.21,106.85,86.0,25,0.0,243.3,98,5.0,3.0
Iran,Tehran,35.73,51.33,71.6,50,0.0,14.8,98,10.0,6.0
Iraq,Baghdad,33.34,44.39,82.4,0,0.0,12.6,98,10.0,6.0
Ireland,Dublin,53.33,-6.25,51.8,75,0.0,2.9,98,10.0,6.0
Israel,Jerusalem,31.78,35.23,77.0,25,0.0,15.4,98,10.0,6.0
Italy,Rome,41.9,12.48,62.6,50,0.0,5.4,98,10.0,6.0
Jamaica,Norman Gardens,17.97,-76.75,87.8,25,0.0,11.1,98,10.0,6.0
Japan,Tokyo,35.69,139.69,93.2,25,0.0,4.8,98,10.0,6.0
Jordan,Amman,31.95,35.93,69.8,0,0.0,19.2,98,7.0,4.0
Kazakhstan,Astana,51.18,71.43,60.8,75,0.0,4.7,98,10.0,6.0
Kenya,Nairobi,-1.28,36.82,60.8,75,0.0,8.7,98,10.0,6.0
Kiribati,Tarawa,-0.88,169.53,83.3,76,1.4,0.7,98,10.0,6.0
Kuwait,Kuwait City,29.37,47.96,91.8,0,0.0,25.8,98,10.0,6.0
Kyrghyzstan,Bishkek,42.87,74.6,73.4,20,0.0,5.8,98,10.0,6.0
Indonesia,Laos,-8.18,114.32,81.5,10,0.0,20.4,98,10.0,6.0
Latvia,Riga,56.95,24.1,60.8,0,0.1,2.9,98,10.0,6.0
Lebanon,Beirut,33.87,35.51,82.4,75,0.0,13.1,98,8.0,4.0
Lesotho,Maseru,-29.32,27.48,46.4,2,0.0,64.7,98,10.0,6.0
Liberia,Monrovia,6.31,-10.8,73.9,100,17.7,1.5,98,5.0,3.0
Thailand,Nan,18.78,100.78,78.8,75,1.8,4.1,98,10.0,6.0
Liechtenstein,Vaduz,47.13,9.52,53.6,100,0.0,5.5,98,10.0,6.0
Lithuania,Vilnius,54.68,25.32,71.6,25,0.0,7.6,98,10.0,6.0
Luxembourg,Luxembourg,49.61,6.13,51.8,50,0.0,6.1,98,10.0,6.0
Madagascar,Antananarivo,-18.92,47.52,57.2,75,0.0,2.1,98,10.0,6.0
Malawi,Lilongwe,-13.98,33.78,54.1,13,0.0,4.4,98,10.0,6.0
Malaysia,Kuala Lumpur,3.17,101.7,82.4,25,0.0,51.1,98,10.0,6.0
Maldives,Farukolhufunadhoo,6.15,73.27,81.9,48,0.0,1.0,98,10.0,6.0
Mali,Bamako,12.65,-8.0,73.4,25,0.0,42.1,98,10.0,6.0
Malta,Valletta,35.9,14.51,73.4,0,0.0,3.2,98,10.0,6.0
Marshall Islands,Majuro,7.1,171.38,87.8,100,0.1,1.8,98,24.0,14.0
Mauritania,Nouakchott,18.09,-15.98,82.0,90,3.7,14.9,98,7.0,4.0
Mauritius,Port Louis,-20.16,57.5,71.6,50,0.0,5.8,98,10.0,6.0
Mexico,Mexico City,19.43,-99.13,69.8,25,0.0,6.6,98,16.0,9.0
Micronesia,Palikir,6.92,158.15,82.4,100,0.1,0.5,98,24.0,14.0
Russia,Chi-Chi-Erh,51.7,94.45,70.9,27,0.0,1.7,98,10.0,6.0
Monaco,Monaco,43.73,7.42,68.0,75,0.2,2.6,98,10.0,6.0
Mongolia,Ulaanbaatar,47.92,106.92,64.4,0,0.0,5.5,98,10.0,6.0
Montenegro,Podgorica,42.44,19.26,64.4,100,2.4,3.0,98,10.0,6.0
Morocco,Rabat,34.03,-6.84,69.8,50,0.0,10.0,98,5.0,3.0
Mozambique,Maputo,-25.97,32.59,62.6,75,0.1,26.5,98,10.0,6.0
Myanmar,Pathein,16.78,94.73,84.6,65,0.3,21.3,98,10.0,6.0
