country,location_name,latitude,longitude,air_quality
Guyana,Georgetown,6.8,-58.17,0.8
Haiti,Port-Au-Prince,18.54,-72.34,6.9
Vatican City,Vatican City,41.9,12.45,3.4
Honduras,Tegucigalpa,14.1,-87.22,1.1
Hungary,Budapest,47.5,19.08,13.9
Iceland,Hella,63.83,-20.4,0.6
India,New Delhi,28.6,77.2,33.2
Indonesia,Jakarta,-6.21,106.85,107
Iran,Tehran,35.73,51.33,24.1
Iraq,Baghdad,33.34,44.39,22.1
Ireland,Dublin,53.33,-6.25,2.1
Israel,Jerusalem,31.78,35.23,13.6
Italy,Rome,41.9,12.48,3.4
Jamaica,Norman Gardens,17.97,-76.75,3.1
Japan,Tokyo,35.69,139.69,6.6
Jordan,Amman,31.95,35.93,15.2
Kazakhstan,Astana,51.18,71.43,3.1
Kenya,Nairobi,-1.28,36.82,8.5
Kiribati,Tarawa,-0.88,169.53,0.5
Kuwait,Kuwait City,29.37,47.96,45.7
Kyrghyzstan,Bishkek,42.87,74.6,2
Indonesia,Laos,-8.18,114.32,11.7
Latvia,Riga,56.95,24.1,4.3
Lebanon,Beirut,33.87,35.51,15.8
Lesotho,Maseru,-29.32,27.48,69.6
Liberia,Monrovia,6.31,-10.8,2.8
Thailand,Nan,18.78,100.78,8.3
Liechtenstein,Vaduz,47.13,9.52,4.3
Lithuania,Vilnius,54.68,25.32,3.6
Luxembourg,Luxembourg,49.61,6.13,4.9
Madagascar,Antananarivo,-18.92,47.52,1.8
Malawi,Lilongwe,-13.98,33.78,2.2
Malaysia,Kuala Lumpur,3.17,101.7,126.8
Maldives,Farukolhufunadhoo,6.15,73.27,0.5
Mali,Bamako,12.65,-8,4.3
Malta,Valletta,35.9,14.51,3.3
Marshall Islands,Majuro,7.1,171.38,1
Mauritania,Nouakchott,18.09,-15.98,15.9
Mauritius,Port Louis,-20.16,57.5,6.9
Mexico,Mexico City,19.43,-99.13,15.5
Micronesia,Palikir,6.92,158.15,0.5
Russia,Chi-Chi-Erh,51.7,94.45,4.6
Monaco,Monaco,43.73,7.42,0.8
Mongolia,Ulaanbaatar,47.92,106.92,28.9
Montenegro,Podgorica,42.44,19.26,11.9
Morocco,Rabat,34.03,-6.84,8
Mozambique,Maputo,-25.97,32.59,8.6
Myanmar,Pathein,16.78,94.73,4
Namibia,Windhoek,-22.57,17.08,22.4
Turkey,Yaren,39.55,27.62,10.3
Nepal,Kathmandu,27.72,85.32,32.3
Netherlands,Amsterdam,52.37,4.89,5.7
New Zealand,Wellington,-41.3,174.78,0.5
Nicaragua,Managua,12.15,-86.27,22.7
Niger,Niamey,13.52,2.12,5
Nigeria,Abuja,9.18,7.18,8.8
North Korea,Pyongyang,39.02,125.75,17.2
Macedonia,Skopje,42,21.43,25.2
Norway,Oslo,59.92,10.75,5.3
Oman,Muscat,23.61,58.59,38.2
Pakistan,Islamabad,33.7,73.17,88.4
Palau,Adkip,7.36,134.51,1.9
Bolivia,National,-11.18,-67.08,51.3
Panama,Panama City,8.97,-79.53,5.9
Papua New Guinea,Port Moresby,-9.46,147.19,5.9
Paraguay,Carreria,-21.55,-58.12,5.2
Peru,Lima,-12.05,-77.05,13.2
Philippines,Manila,14.6,120.98,1.2
Poland,Warsaw,52.25,21,1.9
Portugal,Lisbon,38.72,-9.13,4.6
Qatar,Doha,25.29,51.53,46.1
Romania,Bucharest,44.43,26.1,5.8
Russia,Moscow,55.75,37.62,4.5
Rwanda,Kigali,-1.95,30.06,2.5
Saint Kitts and Nevis,Basseterre,17.3,-62.72,1.2
Saint Lucia,Castries,14,-61,2.3
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,1.8
Samoa,Apia,-13.83,-171.73,3.3
San Marino,San Marino,43.93,12.45,1.2
Belgium,'S-Gravenwezel,51.27,4.55,5.5
Saudi Arabia,Riyadh,24.64,46.77,59
Senegal,Dakar,14.67,-17.44,8.9
Serbia,Belgrade,44.8,20.47,14.1
Seychelles Islands,Victoria,-4.62,55.45,4.1
Sierra Leone,Freetown,8.49,-13.23,1.6
Singapore,Singapore,1.29,103.86,23.6
Slovakia,Bratislava,48.15,17.12,12.1
Slovenia,Ljubljana,46.06,14.51,3
Solomon Islands,Honiara,-9.43,159.95,1.3
Somalia,Mogadishu,2.07,45.37,7.8
South Africa,Pretoria,-25.75,28.19,56.3
South Korea,Seoul,37.57,127,4.9
Sudan,Juba,12.15,24.45,8.1
Spain,Madrid,40.4,-3.68,2.5
Sri Lanka,Colombo,6.93,79.85,1.5
Sudan,Khartoum,15.59,32.53,13
Suriname,Paramaribo,5.83,-55.17,1
Sweden,Stockholm,59.33,18.05,2.8
Switzerland,Bern,46.92,7.47,4.1
Syria,Damascus,33.5,36.3,6.9
Tajikistan,Dushanbe,38.56,68.77,2
Tanzania,Dodoma,-6.18,35.75,1.4
Thailand,Bangkok,13.75,100.52,10
Indonesia,Murong Timor,-7.56,112.27,41.1
Bulgaria,Lom,43.81,23.24,7.5
Tonga,Nuku`Aloia,-21.13,-175.2,1.2
Trinidad and Tobago,Port Of Spain,10.65,-61.52,2.1
Tunisia,Tunis,36.8,10.18,2.4
Turkey,Ankara,39.93,32.86,13.3
Turkmenistan,Ashgabat,37.95,58.38,19
Tuvalu,Funafuti,-8.52,179.22,1.6
Uganda,Kampala,0.32,32.57,4
Ukraine,Lviv,49.83,24,13.3
United Arab Emirates,Abu Dhabi,24.47,54.37,82.6
United Kingdom,London,51.52,-0.11,4
United States of America,Washington Park,46.6,-120.49,9.6
Uruguay,Montevideo,-34.86,-56.17,2.8
Uzbekistan,Tashkent,41.32,69.25,7.1
Vanuatu,Port Vila,-17.73,168.32,4.8
Venezuela,Caracas,10.5,-66.92,25.6
Vietnam,Hanoi,21.03,105.85,12.9
Yemen,Sanaa,15.35,44.21,17.5
Zambia,Lusaka,-15.42,28.28,17.3
Zimbabwe,Harare,-17.82,31.04,17.4
Afghanistan,Kabul,34.52,69.18,31.7
Albania,Tirana,41.33,19.82,4.5
Algeria,Algiers,36.76,3.05,5.3
Andorra,Andorra La Vella,42.5,1.52,0.8
Angola,Luanda,-8.84,13.23,8.5
Antigua and Barbuda,Saint John's,17.12,-61.85,7.7
Argentina,Buenos Aires,-34.59,-58.67,2.9
Armenia,Yerevan,40.18,44.51,2.2
Australia,Canberra,-35.28,149.22,3.8
Austria,Vienna,48.2,16.37,3
Azerbaijan,Baku,40.4,49.88,0.9
Bahamas,Nassau,25.08,-77.35,13.9
Bahrain,Manama,26.24,50.58,28.7
Bangladesh,Dhaka,23.72,90.41,153.9
Barbados,Bridgetown,13.1,-59.62,2.3
Belarus,Minsk,53.9,27.57,8.3
Belgium,Brussels,50.83,4.33,11.2
Belize,Belmopan,17.25,-88.77,2.9
Benin,Porto-Novo,6.48,2.62,6.3
Bhutan,Thimphu,27.48,89.6,14.1
Bolivia,Sucre,-19.04,-65.26,11.8
Bosnia and Herzegovina,Sarajevo,43.85,18.38,1.7
Botswana,Gaborone,-24.65,25.91,2.7
Brazil,Bras,-2.08,-58.17,2.8
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2.3
Bulgaria,Sofia,42.68,23.32,10.3
Burkina Faso,Ouagadougou,12.37,-1.52,5
Burundi,Bujumbura,-3.38,29.36,28.7
Madagascar,Ivory,-24.37,46.45,2.4
Cape Verde,Praia,14.93,-23.51,17.5
Cambodia,Phnom Penh,11.55,104.92,1.8
Cameroon,Bafoussam,5.47,10.42,14.7
Canada,Ottawa,45.42,-75.7,2.7
Central African Republic,Bangui,4.37,18.58,0.6
Chad,N'djamena,12.11,15.05,8.5
Chile,Santiago,-33.45,-70.67,537.3
China,Beijing,39.93,116.39,150.9
Bulgaria,Bogot,43.32,24.7,7.9
Comoros,Moroni,-11.7,43.24,4.6
Congo,Brazzaville,-4.26,15.28,38.4
Costa Rica,San Juan,9.97,-84.08,37.4
Croatia,Zagreb,45.8,16,2.6
Cuba,Havana,23.13,-82.36,5.3
Cyprus,Nicosia,35.17,33.37,20.8
Czech Republic,Prague,50.08,14.47,4.6
Democratic Republic of Congo,Kinshasa,-4.3,15.3,38.4
Denmark,Copenhagen,55.67,12.58,3.8
Djibouti,Djibouti,11.6,43.15,9.1
Dominica,Roseau,15.3,-61.4,2.4
Dominican Republic,Santo Domingo,18.47,-69.9,20.5
Ecuador,Quito,-0.22,-78.5,32
Egypt,Cairo,30.05,31.25,26.9
El Salvador,San Salvador,13.71,-89.2,12.6
Equatorial Guinea,Malabo,3.75,8.78,1.7
Eritrea,Asmara,15.33,38.93,25.2
Estonia,Tallinn,59.43,24.73,3.3
Swaziland,Mbabane,-26.32,31.13,10.7
Ethiopia,Addis Ababa,9.03,38.7,12.8
Fiji Islands,Suva,-18.13,178.42,3.3
Finland,Helsinki,60.18,24.93,7.8
France,Paris,48.87,2.33,9.7
Gabon,Libreville,0.38,9.45,4.9
Gambia,Banjul,13.45,-16.58,1.1
Georgia,Tbilisi,41.73,44.79,3.5
Germany,Berlin,52.52,13.4,3.9
Ghana,Accra,5.55,-0.22,6.1
Greece,Athens,37.98,23.72,27.2
Grenada,Saint George's,12.05,-61.75,1.8
Guatemala,Guatemala City,14.62,-90.53,36.5
Guinea,Conakry,9.51,-13.71,0.8
Guinea-Bissau,Bissau,11.85,-15.58,1
Guyana,Georgetown,6.8,-58.17,1.6
Haiti,Port-Au-Prince,18.54,-72.34,8.1
Vatican City,Vatican City,41.9,12.45,5.4
Honduras,Tegucigalpa,14.1,-87.22,9.4
Hungary,Budapest,47.5,19.08,13.5
Iceland,Hella,63.83,-20.4,1.3
India,New Delhi,28.6,77.2,15.4
Indonesia,Jakarta,-6.21,106.85,243.3
Iran,Tehran,35.73,51.33,14.8
Iraq,Baghdad,33.34,44.39,12.6
Ireland,Dublin,53.33,-6.25,2.9
Israel,Jerusalem,31.78,35.23,15.4
Italy,Rome,41.9,12.48,5.4
Jamaica,Norman Gardens,17.97,-76.75,11.1
Japan,Tokyo,35.69,139.69,4.8
Jordan,Amman,31.95,35.93,19.2
Kazakhstan,Astana,51.18,71.43,4.7
Kenya,Nairobi,-1.28,36.82,8.7
Kiribati,Tarawa,-0.88,169.53,0.7
Kuwait,Kuwait City,29.37,47.96,25.8
Kyrghyzstan,Bishkek,42.87,74.6,5.8
Indonesia,Laos,-8.18,114.32,20.4
Latvia,Riga,56.95,24.1,2.9
Lebanon,Beirut,33.87,35.51,13.1
Lesotho,Maseru,-29.32,27.48,64.7
Liberia,Monrovia,6.31,-10.8,1.5
Thailand,Nan,18.78,100.78,4.1
Liechtenstein,Vaduz,47.13,9.52,5.5
Lithuania,Vilnius,54.68,25.32,7.6
Luxembourg,Luxembourg,49.61,6.13,6.1
Madagascar,Antananarivo,-18.92,47.52,2.1
Malawi,Lilongwe,-13.98,33.78,4.4
Malaysia,Kuala Lumpur,3.17,101.7,51.1
Maldives,Farukolhufunadhoo,6.15,73.27,1
Mali,Bamako,12.65,-8,42.1
Malta,Valletta,35.9,14.51,3.2
Marshall Islands,Majuro,7.1,171.38,1.8
Mauritania,Nouakchott,18.09,-15.98,14.9
Mauritius,Port Louis,-20.16,57.5,5.8
Mexico,Mexico City,19.43,-99.13,6.6
Micronesia,Palikir,6.92,158.15,0.5
Russia,Chi-Chi-Erh,51.7,94.45,1.7
Monaco,Monaco,43.73,7.42,2.6
Mongolia,Ulaanbaatar,47.92,106.92,5.5
Montenegro,Podgorica,42.44,19.26,3
Morocco,Rabat,34.03,-6.84,10
Mozambique,Maputo,-25.97,32.59,26.5
Myanmar,Pathein,16.78,94.73,21.3
Namibia,Windhoek,-22.57,17.08,15.5
Turkey,Yaren,39.55,27.62,25
Nepal,Kathmandu,27.72,85.32,77.4
Netherlands,Amsterdam,52.37,4.89,6.1
New Zealand,Wellington,-41.3,174.78,1.2
Nicaragua,Managua,12.15,-86.27,13.2
Niger,Niamey,13.52,2.12,4.8
Nigeria,Abuja,9.18,7.18,13.5
North Korea,Pyongyang,39.02,125.75,9.4
Macedonia,Skopje,42,21.43,22.2
Norway,Oslo,59.92,10.75,2.4
Oman,Muscat,23.61,58.59,44.3
Pakistan,Islamabad,33.7,73.17,46.3
Palau,Adkip,7.36,134.51,0.8
Bolivia,National,-11.18,-67.08,19.1
Panama,Panama City,8.97,-79.53,8.6
Papua New Guinea,Port Moresby,-9.46,147.19,3
Paraguay,Carreria,-21.55,-58.12,12
Peru,Lima,-12.05,-77.05,12.6
Philippines,Manila,14.6,120.98,2.2
Poland,Warsaw,52.25,21,19.1
Portugal,Lisbon,38.72,-9.13,3.6
Qatar,Doha,25.29,51.53,35.7
Romania,Bucharest,44.43,26.1,12.4
Russia,Moscow,55.75,37.62,16.4
Rwanda,Kigali,-1.95,30.06,31.5
Saint Kitts and Nevis,Basseterre,17.3,-62.72,3.2
Saint Lucia,Castries,14,-61,2.7
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2.5
Samoa,Apia,-13.83,-171.73,3
San Marino,San Marino,43.93,12.45,2.6
Belgium,'S-Gravenwezel,51.27,4.55,9.8
Saudi Arabia,Riyadh,24.64,46.77,71.6
Senegal,Dakar,14.67,-17.44,4.3
Serbia,Belgrade,44.8,20.47,19.2
Seychelles Islands,Victoria,-4.62,55.45,6.2
Sierra Leone,Freetown,8.49,-13.23,1.2
Singapore,Singapore,1.29,103.86,10.5
Slovakia,Bratislava,48.15,17.12,2.6
Slovenia,Ljubljana,46.06,14.51,2.3
Solomon Islands,Honiara,-9.43,159.95,1
Somalia,Mogadishu,2.07,45.37,10.4
South Africa,Pretoria,-25.75,28.19,9.4
South Korea,Seoul,37.57,127,65.2
Sudan,Juba,12.15,24.45,8.9
Spain,Madrid,40.4,-3.68,1.4
Sri Lanka,Colombo,6.93,79.85,2.4
Sudan,Khartoum,15.59,32.53,10.7
Suriname,Paramaribo,5.83,-55.17,2
Sweden,Stockholm,59.33,18.05,5.7
Switzerland,Bern,46.92,7.47,5.9
Syria,Damascus,33.5,36.3,16.6
Tajikistan,Dushanbe,38.56,68.77,1.6
Tanzania,Dodoma,-6.18,35.75,3.3
Thailand,Bangkok,13.75,100.52,16
Indonesia,Murong Timor,-7.56,112.27,22.7
Bulgaria,Lom,43.81,23.24,5.7
Tonga,Nuku`Aloia,-21.13,-175.2,2
Trinidad and Tobago,Port Of Spain,10.65,-61.52,0.7
Tunisia,Tunis,36.8,10.18,5.2
Turkey,Ankara,39.93,32.86,13
Turkmenistan,Ashgabat,37.95,58.38,9
Tuvalu,Funafuti,-8.52,179.22,1.7
Uganda,Kampala,0.32,32.57,33.7
Ukraine,Lviv,49.83,24,4.1
United Arab Emirates,Abu Dhabi,24.47,54.37,32.9
United Kingdom,London,51.52,-0.11,3.4
United States of America,Washington Park,46.6,-120.49,0.6
Uruguay,Montevideo,-34.86,-56.17,3.3
Uzbekistan,Tashkent,41.32,69.25,6.3
Vanuatu,Port Vila,-17.73,168.32,2.7
Venezuela,Caracas,10.5,-66.92,8.5
Vietnam,Hanoi,21.03,105.85,35
Yemen,Sanaa,15.35,44.21,26.9
Zambia,Lusaka,-15.42,28.28,7.3
Zimbabwe,Harare,-17.82,31.04,6.6
Afghanistan,Kabul,34.52,69.18,7.7
Albania,Tirana,41.33,19.82,4.2
Algeria,Algiers,36.76,3.05,1.9
Andorra,Andorra La Vella,42.5,1.52,1
Angola,Luanda,-8.84,13.23,8.9
Antigua and Barbuda,Saint John's,17.12,-61.85,4.5
Argentina,Buenos Aires,-34.59,-58.67,10.8
Armenia,Yerevan,40.18,44.51,1.6
Australia,Canberra,-35.28,149.22,1.1
Austria,Vienna,48.2,16.37,2.4
Azerbaijan,Baku,40.4,49.88,1.9
Bahamas,Nassau,25.08,-77.35,2.5
Bahrain,Manama,26.24,50.58,40.8
Bangladesh,Dhaka,23.72,90.41,82.6
Barbados,Bridgetown,13.1,-59.62,5.8
Belarus,Minsk,53.9,27.57,7
Belgium,Brussels,50.83,4.33,5.9
Belize,Belmopan,17.25,-88.77,1.6
Benin,Porto-Novo,6.48,2.62,10.9
Bhutan,Thimphu,27.48,89.6,10
Bolivia,Sucre,-19.04,-65.26,4.7
Bosnia and Herzegovina,Sarajevo,43.85,18.38,1.4
Botswana,Gaborone,-24.65,25.91,26.5
Brazil,Bras,-2.08,-58.17,2
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,1.9
Bulgaria,Sofia,42.68,23.32,6.5
Burkina Faso,Ouagadougou,12.37,-1.52,43.6
Burundi,Bujumbura,-3.38,29.36,43.5
Madagascar,Ivory,-24.37,46.45,1.1
Cape Verde,Praia,14.93,-23.51,9.8
Cambodia,Phnom Penh,11.55,104.92,2.8
Cameroon,Bafoussam,5.47,10.42,4.5
Canada,Ottawa,45.42,-75.7,0.5
Central African Republic,Bangui,4.37,18.58,7.6
Chad,N'djamena,12.11,15.05,20.4
Chile,Santiago,-33.45,-70.67,180.3
China,Beijing,39.93,116.39,142.2
Bulgaria,Bogot,43.32,24.7,9.8
Comoros,Moroni,-11.7,43.24,2.5
Congo,Brazzaville,-4.26,15.28,17.6
Costa Rica,San Juan,9.97,-84.08,20.7
Croatia,Zagreb,45.8,16,4.1
Cuba,Havana,23.13,-82.36,5.4
Cyprus,Nicosia,35.17,33.37,26.9
Czech Republic,Prague,50.08,14.47,6.1
Democratic Republic of Congo,Kinshasa,-4.3,15.3,17.6
Denmark,Copenhagen,55.67,12.58,5.2
Djibouti,Djibouti,11.6,43.15,13.8
Dominica,Roseau,15.3,-61.4,4.3
Dominican Republic,Santo Domingo,18.47,-69.9,10.4
Ecuador,Quito,-0.22,-78.5,31.7
Egypt,Cairo,30.05,31.25,36.5
El Salvador,San Salvador,13.71,-89.2,18.7
Equatorial Guinea,Malabo,3.75,8.78,1
Eritrea,Asmara,15.33,38.93,32.5
Estonia,Tallinn,59.43,24.73,7.9
Swaziland,Mbabane,-26.32,31.13,23.6
Ethiopia,Addis Ababa,9.03,38.7,161
Fiji Islands,Suva,-18.13,178.42,4.1
Finland,Helsinki,60.18,24.93,6.9
France,Paris,48.87,2.33,7
Gabon,Libreville,0.38,9.45,7.1
Gambia,Banjul,13.45,-16.58,1.2
Georgia,Tbilisi,41.73,44.79,2.9
Germany,Berlin,52.52,13.4,7
Ghana,Accra,5.55,-0.22,10.2
Greece,Athens,37.98,23.72,8.3
Grenada,Saint George's,12.05,-61.75,2.5
Guatemala,Guatemala City,14.62,-90.53,133.9
Guinea,Conakry,9.51,-13.71,1.5
Guinea-Bissau,Bissau,11.85,-15.58,2.4
Guyana,Georgetown,6.8,-58.17,1.4
Haiti,Port-Au-Prince,18.54,-72.34,4.6
Vatican City,Vatican City,41.9,12.45,14.1
Honduras,Tegucigalpa,14.1,-87.22,15.8
Hungary,Budapest,47.5,19.08,23.7
Iceland,Hella,63.83,-20.4,0.5
India,New Delhi,28.6,77.2,47.4
Indonesia,Jakarta,-6.21,106.85,347
Iran,Tehran,35.73,51.33,10
Iraq,Baghdad,33.34,44.39,17.7
Ireland,Dublin,53.33,-6.25,2.2
Israel,Jerusalem,31.78,35.23,19.4
Italy,Rome,41.9,12.48,14.1
Jamaica,Norman Gardens,17.97,-76.75,4
Japan,Tokyo,35.69,139.69,13.3
Jordan,Amman,31.95,35.93,15.4
Kazakhstan,Astana,51.18,71.43,1
Kenya,Nairobi,-1.28,36.82,6.5
Kiribati,Tarawa,-0.88,169.53,1.3
Kuwait,Kuwait City,29.37,47.96,26.2
Kyrghyzstan,Bishkek,42.87,74.6,4.4
Indonesia,Laos,-8.18,114.32,19.8
Latvia,Riga,56.95,24.1,5.1
Lebanon,Beirut,33.87,35.51,20.6
Lesotho,Maseru,-29.32,27.48,55.2
Liberia,Monrovia,6.31,-10.8,2.2
Thailand,Nan,18.78,100.78,3
Liechtenstein,Vaduz,47.13,9.52,2.8
Lithuania,Vilnius,54.68,25.32,8.4
Luxembourg,Luxembourg,49.61,6.13,4.3
Madagascar,Antananarivo,-18.92,47.52,2.6
Malawi,Lilongwe,-13.98,33.78,7.7
Malaysia,Kuala Lumpur,3.17,101.7,88.8
Maldives,Farukolhufunadhoo,6.15,73.27,1.1
Mali,Bamako,12.65,-8,11.7
Malta,Valletta,35.9,14.51,5.6
Marshall Islands,Majuro,7.1,171.38,0.7
Mauritania,Nouakchott,18.09,-15.98,2
Mauritius,Port Louis,-20.16,57.5,3.2
Mexico,Mexico City,19.43,-99.13,19.6
Micronesia,Palikir,6.92,158.15,0.5
Russia,Chi-Chi-Erh,51.7,94.45,3.9
Monaco,Monaco,43.73,7.42,7.5
Mongolia,Ulaanbaatar,47.92,106.92,4.7
Montenegro,Podgorica,42.44,19.26,5.2
Morocco,Rabat,34.03,-6.84,9
Mozambique,Maputo,-25.97,32.59,3.7
Myanmar,Pathein,16.78,94.73,12.9
Namibia,Windhoek,-22.57,17.08,26.3
Turkey,Yaren,39.55,27.62,35.7
Nepal,Kathmandu,27.72,85.32,79.2
Netherlands,Amsterdam,52.37,4.89,3.3
New Zealand,Wellington,-41.3,174.78,0.5
Nicaragua,Managua,12.15,-86.27,11.6
Niger,Niamey,13.52,2.12,6.9
Nigeria,Abuja,9.18,7.18,8.4
North Korea,Pyongyang,39.02,125.75,36.2
Macedonia,Skopje,42,21.43,2.5
Norway,Oslo,59.92,10.75,12.3
Oman,Muscat,23.61,58.59,32.4
Pakistan,Islamabad,33.7,73.17,51.5
Palau,Adkip,7.36,134.51,1.1
Bolivia,National,-11.18,-67.08,20
Panama,Panama City,8.97,-79.53,11.9
Papua New Guinea,Port Moresby,-9.46,147.19,2.8
Paraguay,Carreria,-21.55,-58.12,10.4
Peru,Lima,-12.05,-77.05,14
Philippines,Manila,14.6,120.98,3
Poland,Warsaw,52.25,21,4.1
Portugal,Lisbon,38.72,-9.13,3.3
Qatar,Doha,25.29,51.53,40.5
Romania,Bucharest,44.43,26.1,12.8
Russia,Moscow,55.75,37.62,27.7
Rwanda,Kigali,-1.95,30.06,38.2
Saint Kitts and Nevis,Basseterre,17.3,-62.72,4.4
Saint Lucia,Castries,14,-61,4.4
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2
Samoa,Apia,-13.83,-171.73,3.7
San Marino,San Marino,43.93,12.45,2.9
Belgium,'S-Gravenwezel,51.27,4.55,7
Saudi Arabia,Riyadh,24.64,46.77,42.2
Senegal,Dakar,14.67,-17.44,1.1
Serbia,Belgrade,44.8,20.47,5.7
Seychelles Islands,Victoria,-4.62,55.45,10
Sierra Leone,Freetown,8.49,-13.23,3.4
Singapore,Singapore,1.29,103.86,10.9
Slovakia,Bratislava,48.15,17.12,3.5
Slovenia,Ljubljana,46.06,14.51,5.9
Solomon Islands,Honiara,-9.43,159.95,1.5
Somalia,Mogadishu,2.07,45.37,7.1
South Africa,Pretoria,-25.75,28.19,40.8
South Korea,Seoul,37.57,127,62.2
Sudan,Juba,12.15,24.45,3.7
Spain,Madrid,40.4,-3.68,0.9
Sri Lanka,Colombo,6.93,79.85,2.4
Sudan,Khartoum,15.59,32.53,18.4
Suriname,Paramaribo,5.83,-55.17,1.2
Sweden,Stockholm,59.33,18.05,5.7
Switzerland,Bern,46.92,7.47,6.4
Syria,Damascus,33.5,36.3,15.3
Tajikistan,Dushanbe,38.56,68.77,5.1
Tanzania,Dodoma,-6.18,35.75,2
Thailand,Bangkok,13.75,100.52,21.9
Indonesia,Murong Timor,-7.56,112.27,17.6
Bulgaria,Lom,43.81,23.24,10.1
Tonga,Nuku`Aloia,-21.13,-175.2,2.6
Trinidad and Tobago,Port Of Spain,10.65,-61.52,0.6
Tunisia,Tunis,36.8,10.18,4.9
Turkey,Ankara,39.93,32.86,25.2
Turkmenistan,Ashgabat,37.95,58.38,11.2
Tuvalu,Funafuti,-8.52,179.22,2.3
Uganda,Kampala,0.32,32.57,30
Ukraine,Lviv,49.83,24,7.5
United Arab Emirates,Abu Dhabi,24.47,54.37,55.2
United Kingdom,London,51.52,-0.11,3
United States of America,Washington Park,46.6,-120.49,0.5
Uruguay,Montevideo,-34.86,-56.17,10
Uzbekistan,Tashkent,41.32,69.25,5
Vanuatu,Port Vila,-17.73,168.32,1.2
Venezuela,Caracas,10.5,-66.92,13.3
Vietnam,Hanoi,21.03,105.85,81.5
Yemen,Sanaa,15.35,44.21,36.9
Zambia,Lusaka,-15.42,28.28,11.6
Zimbabwe,Harare,-17.82,31.04,14.3
Afghanistan,Kabul,34.52,69.18,20.9
